YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,station_id,latitude,longitude
2012,10,20,20,20,354,3.0,3.9,1.31,5.88,5.01,999,1010.8,26.4,28.0,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,20,50,352,3.0,4.1,1.23,5.56,4.82,999,1010.9,26.2,28.0,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,21,20,18,1.8,2.4,1.35,5.56,5.17,999,1011.1,26.2,28.0,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,21,50,15,2.1,3.0,1.24,5.88,5.04,999,1011.3,26.2,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,22,20,26,3.1,4.3,1.18,5.56,4.97,999,1011.4,26.1,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,22,50,41,1.9,3.0,1.14,5.56,5.02,999,1011.6,26.0,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,23,20,10,1.7,2.6,1.12,8.33,5.11,999,1011.8,26.0,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,20,23,50,5,1.2,2.0,1.16,5.88,5.13,999,1012.1,26.0,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,0,20,349,1.7,2.6,1.09,5.26,5.06,999,1012.3,26.0,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,0,50,329,1.6,2.5,1.14,9.09,5.28,999,1012.6,26.0,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,1,20,307,2.1,3.1,1.16,5.88,5.2,999,1013.0,26.0,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,1,50,309,2.8,3.5,1.11,7.69,5.2,999,1013.2,26.0,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,2,20,295,2.5,3.6,1.15,7.69,5.6,999,1013.5,26.1,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,2,50,303,3.3,4.2,1.06,10.81,5.42,999,1013.5,26.1,27.9,999.0,99.0,99.0,41010,28.878,-78.467
